stats,L,kappa,f,g,E,Tb,X,Y,Z,Xsign(Z),Zsign(X),R,R2,Rg2,Sxx,Syy,Szz,Sxy,Sxz,Syz,Sq

mean,200,4.23096,0.0573966,1.387,-17375.8,5.84089,126.301,-0.0331722,126.295,126.301,126.295,178.617,31904.2,3052.63,1526.76,0.150874,1525.5,-1.19896,1398.04,-1.26091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
std/sqrt(number of polymer),NA,NA,NA,NA,8.1713,0.256362,0.098402,0.14564,0.113111,0.098402,0.113111,0.0839025,29.9679,1.95945,2.21817,0.0299501,2.51136,1.71699,1.26383,1.73673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74539e-05,0.000213995,4.18007e-05,0.000138844,0.000202697,1.9468e-05,0.000195452,0.000228521,6.10939e-05,0.00032521,0.000137509,0.000154553,0.000457543,9.50093e-05,0.00038125,0.000456112,0.000162548,0.000862729,0.00050296,0.000432386,0.00133504,0.00104422,0.00211114,0.00346006,0.00411205,0.00897729,0.0116609,0.0201073,0.029912,0.0377292,0.043263,0.0340176,0.0263675,0.0245407,0.0276464,0.0333917,0.0226264,0.0215978,0.0300912,0.0235786,0.021451,0.0239883,0.0221006,0.0260022,0.0200147,0.0201899,0.0217592,0.0221937,0.0231817,0.0176273,0.0177161
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000214621,5.23815e-05,0.000138042,0.000224612,1.99279e-05,0.000191985,0.000214228,5.1845e-05,0.000330603,0.000128394,0.000152128,0.000416895,7.48192e-05,0.000379832,0.000426671,9.06181e-05,0.000710253,0.000489488,0.000410114,0.000989886,0.000642336,0.00150828,0.00240631,0.00237283,0.00605271,0.00772526,0.013059,0.0225455,0.0296539,0.0444745,0.0398451,0.0387806,0.0241711,0.0250701,0.0345954,0.0278946,0.0238913,0.0285844,0.0260782,0.0216499,0.028208,0.0242766,0.0206667,0.0245656,0.0220618,0.0258959,0.0206495,0.0214143,0.0180003,0.0192787,0.019739
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9477e-05,0.000145541,0.000239181,2.24593e-05,0.000230925,0.000170632,3.44248e-05,0.000366653,0.000114329,0.000149275,0.000398994,5.54242e-05,0.000361769,0.000402247,7.24392e-05,0.000565436,0.000433829,0.000370701,0.000899768,0.000381835,0.000981514,0.00187811,0.00131554,0.00402639,0.00511337,0.00797441,0.0158286,0.0204849,0.0378942,0.0406202,0.0480068,0.0332369,0.0282202,0.0265156,0.0337905,0.0323545,0.0221813,0.0283504,0.0297133,0.0240263,0.0256338,0.022309,0.0279031,0.0260924,0.0215706,0.0217448,0.0200816,0.0245029,0.0207227,0.0230179,0.0194022
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000157352,0.000242043,2.45866e-05,0.000254543,0.000160895,3.92528e-05,0.000363286,0.000104179,0.000146688,0.000380027,4.60115e-05,0.000307681,0.000386114,6.18617e-05,0.000519303,0.000344877,0.000267362,0.000906206,0.000279033,0.000635316,0.00148085,0.00079621,0.00263219,0.0034347,0.00469309,0.0106859,0.013058,0.0273141,0.0358222,0.0479709,0.0455195,0.0378829,0.0234845,0.0328992,0.0363025,0.0267393,0.0278573,0.0327309,0.0235286,0.0261717,0.0310008,0.02456,0.026302,0.020599,0.0252508,0.0246801,0.0259838,0.0214243,0.0201061,0.0190436,0.0204674
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000240387,2.73228e-05,0.000266518,0.000171774,6.06606e-05,0.000298686,0.0001081,0.000137221,0.000359292,4.34224e-05,0.000269263,0.000386566,4.19244e-05,0.000525551,0.000280755,0.000170667,0.000854747,0.000256128,0.000536282,0.00109887,0.000506995,0.00182182,0.00232594,0.00272062,0.00706483,0.00808925,0.0173042,0.0275527,0.0396937,0.0514342,0.0475289,0.0351373,0.0288035,0.0313519,0.0398916,0.0285949,0.0262926,0.032951,0.0284731,0.0306801,0.0243141,0.0248248,0.0294255,0.0255266,0.0276259,0.0213171,0.0230189,0.0190822,0.0243154,0.0223618,0.024453
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31503e-05,0.000265525,0.000167186,6.24452e-05,0.00026232,0.000121029,0.000121408,0.00037152,4.33851e-05,0.000280221,0.000376529,2.68132e-05,0.000508864,0.000270996,0.000129083,0.00074241,0.000233681,0.000540898,0.000866718,0.000283149,0.00138801,0.00162489,0.00153043,0.00469468,0.00499181,0.0102746,0.0188627,0.027932,0.0473503,0.0500695,0.0534812,0.0322926,0.0279764,0.0423719,0.0343293,0.0262428,0.0369065,0.0323558,0.02437,0.0318456,0.0282594,0.0323016,0.0243921,0.0243282,0.0240226,0.0258378,0.0253125,0.0260873,0.0239704,0.0226076,0.0183601
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000242376,0.000180486,5.50499e-05,0.000318135,0.000126948,0.000124121,0.000401748,4.54089e-05,0.00029817,0.00035469,2.25696e-05,0.000481157,0.000285773,0.000125242,0.000662492,0.000190911,0.000498848,0.000823639,0.00014519,0.00107213,0.00123511,0.00082195,0.00324532,0.00306721,0.00605542,0.0120661,0.0170427,0.0365758,0.0440626,0.0628268,0.0457891,0.0369936,0.0316346,0.0398715,0.0393502,0.0291967,0.0341722,0.0312479,0.0345114,0.0327323,0.0249845,0.0285145,0.0250766,0.0329476,0.0273835,0.0284294,0.0213696,0.0235217,0.0189157,0.0211548,0.0204699
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000235826,7.6731e-05,0.000393737,0.000123987,0.000150984,0.000401319,5.09151e-05,0.00029445,0.000358999,2.59354e-05,0.000484694,0.0002871,0.000127678,0.0006505,0.000146663,0.000403628,0.000840988,9.3761e-05,0.000853043,0.000998804,0.00045751,0.00234943,0.00190916,0.00353484,0.0077883,0.00927434,0.0244455,0.0333187,0.0565128,0.0590185,0.0540595,0.0295142,0.0390932,0.0471652,0.0298384,0.0341002,0.0442106,0.0294763,0.0313737,0.0278648,0.0342219,0.0332494,0.0317497,0.0272381,0.0234921,0.0214939,0.0239961,0.0240885,0.0265552,0.0247993,0.0280491
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000111151,0.000405659,0.000129545,0.000176967,0.00038812,6.48758e-05,0.000303002,0.000390786,3.70203e-05,0.000501622,0.000274299,0.00012419,0.000653372,0.000123268,0.000332268,0.000813304,6.81618e-05,0.000792269,0.000805356,0.000277718,0.00178142,0.00125394,0.00200515,0.00531355,0.00480085,0.0145605,0.0224949,0.0403678,0.0608272,0.064708,0.0493337,0.0378176,0.0382569,0.0469085,0.0375501,0.0397522,0.0332992,0.031144,0.0417806,0.033651,0.0353709,0.0245303,0.028822,0.0238819,0.0299491,0.0276042,0.0323774,0.0267911,0.0271518,0.0243909,0.0206286
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000396297,0.000154602,0.000199935,0.000414319,8.57311e-05,0.000335324,0.000403748,5.06506e-05,0.000493383,0.000268125,0.000117985,0.000640624,0.000126772,0.000326983,0.000745049,4.26626e-05,0.000791172,0.000684584,0.000158744,0.00145514,0.000887652,0.00115655,0.00375638,0.00256921,0.00814324,0.0141175,0.023859,0.050147,0.0605415,0.0749717,0.047173,0.0327027,0.0554435,0.0452275,0.0300013,0.0462241,0.0399292,0.0409847,0.0325179,0.030014,0.031195,0.032932,0.0345481,0.0333225,0.030426,0.0305659,0.0232925,0.0245966,0.019967,0.0216616,0.0189271
